date,week,start_date,end_date
2016-06-19,201625,2016-06-19,2016-06-25
2016-06-26,201626,2016-06-26,2016-07-02
2016-07-03,201627,2016-07-03,2016-07-09
2016-07-10,201628,2016-07-10,2016-07-16
2016-07-17,201629,2016-07-17,2016-07-23
2016-07-24,201630,2016-07-24,2016-07-30
2016-07-31,201631,2016-07-31,2016-08-06
2016-08-07,201632,2016-08-07,2016-08-13
2016-08-14,201633,2016-08-14,2016-08-20
2016-08-21,201634,2016-08-21,2016-08-27
2016-08-28,201635,2016-08-28,2016-09-03
2016-09-04,201636,2016-09-04,2016-09-10
2016-09-11,201637,2016-09-11,2016-09-17
2016-09-18,201638,2016-09-18,2016-09-24
2016-09-25,201639,2016-09-25,2016-10-01
2016-10-02,201640,2016-10-02,2016-10-08
2016-10-09,201641,2016-10-09,2016-10-15
2016-10-16,201642,2016-10-16,2016-10-22
2016-10-23,201643,2016-10-23,2016-10-29
2016-10-30,201644,2016-10-30,2016-11-05
2016-11-06,201645,2016-11-06,2016-11-12
2016-11-13,201646,2016-11-13,2016-11-19
2016-11-20,201647,2016-11-20,2016-11-26
2016-11-27,201648,2016-11-27,2016-12-03
2016-12-04,201649,2016-12-04,2016-12-10
2016-12-11,201650,2016-12-11,2016-12-17
2016-12-18,201651,2016-12-18,2016-12-24
2016-12-25,201652,2016-12-25,2016-12-31
2017-01-01,201701,2017-01-01,2017-01-07
2017-01-08,201702,2017-01-08,2017-01-14
2017-01-15,201703,2017-01-15,2017-01-21
2017-01-22,201704,2017-01-22,2017-01-28
2017-01-29,201705,2017-01-29,2017-02-04
2017-02-05,201706,2017-02-05,2017-02-11
2017-02-12,201707,2017-02-12,2017-02-18
2017-02-19,201708,2017-02-19,2017-02-25
2017-02-26,201709,2017-02-26,2017-03-04
2017-03-05,201710,2017-03-05,2017-03-11
2017-03-12,201711,2017-03-12,2017-03-18
2017-03-19,201712,2017-03-19,2017-03-25
2017-03-26,201713,2017-03-26,2017-04-01
2017-04-02,201714,2017-04-02,2017-04-08
2017-04-09,201715,2017-04-09,2017-04-15
2017-04-16,201716,2017-04-16,2017-04-22
2017-04-23,201717,2017-04-23,2017-04-29
2017-04-30,201718,2017-04-30,2017-05-06
2017-05-07,201719,2017-05-07,2017-05-13
2017-05-14,201720,2017-05-14,2017-05-20
2017-05-21,201721,2017-05-21,2017-05-27
2017-05-28,201722,2017-05-28,2017-06-03
2017-06-04,201723,2017-06-04,2017-06-10
2017-06-11,201724,2017-06-11,2017-06-17
2017-06-18,201725,2017-06-18,2017-06-24
2017-06-25,201726,2017-06-25,2017-07-01
2017-07-02,201727,2017-07-02,2017-07-08
2017-07-09,201728,2017-07-09,2017-07-15
2017-07-16,201729,2017-07-16,2017-07-22
2017-07-23,201730,2017-07-23,2017-07-29
2017-07-30,201731,2017-07-30,2017-08-05
2017-08-06,201732,2017-08-06,2017-08-12
2017-08-13,201733,2017-08-13,2017-08-19
