week,precipitation_avg,precipitation_max,CITY
201941,1.7856,7.231,Angra Dos Reis
201942,0.3507,1.205,Angra Dos Reis
201943,0.9401,4.3491,Angra Dos Reis
201944,1.5685,7.8266,Angra Dos Reis
201945,1.6199,7.918,Angra Dos Reis
201946,3.41,13.1618,Angra Dos Reis
201947,1.2472,6.6875,Angra Dos Reis
201948,2.0663,7.9,Angra Dos Reis
201949,3.4506,16.6088,Angra Dos Reis
201950,3.2544,14.7802,Angra Dos Reis
201951,1.063,5.03,Angra Dos Reis
201952,3.7345,17.1128,Angra Dos Reis
202001,2.6444,11.8342,Angra Dos Reis
202002,3.7764,14.4552,Angra Dos Reis
202003,3.5699,15.4345,Angra Dos Reis
202004,1.998,12.9955,Angra Dos Reis
202005,2.803,10.0059,Angra Dos Reis
202006,5.6112,21.1046,Angra Dos Reis
202007,4.4929,16.0261,Angra Dos Reis
202008,3.4673,15.5578,Angra Dos Reis
202009,2.6585,8.3368,Angra Dos Reis
202010,4.8291,19.3817,Angra Dos Reis
202011,0.7084,5.155,Angra Dos Reis
202012,3.1784,14.9945,Angra Dos Reis
202013,0.7897,3.4979,Angra Dos Reis
202014,1.9722,8.0725,Angra Dos Reis
202015,0.8412,3.9964,Angra Dos Reis
202016,0.3963,1.4932,Angra Dos Reis
202017,0.748,2.0591,Angra Dos Reis
202018,0.7631,5.0178,Angra Dos Reis
202019,2.7704,12.5638,Angra Dos Reis
202020,1.4088,8.9331,Angra Dos Reis
202021,0.0618,0.2458,Angra Dos Reis
202022,0.1959,0.9862,Angra Dos Reis
202023,0.0898,0.4721,Angra Dos Reis
202024,0.2156,1.7254,Angra Dos Reis
202025,0.3913,2.0657,Angra Dos Reis
202026,0.0762,0.434,Angra Dos Reis
202027,0.2482,1.3883,Angra Dos Reis
202028,0.0167,0.1164,Angra Dos Reis
202029,0.495,2.6056,Angra Dos Reis
202030,0.0345,0.1373,Angra Dos Reis
202031,1.1171,5.0634,Angra Dos Reis
202032,0.0236,0.0819,Angra Dos Reis
202033,0.032,0.1625,Angra Dos Reis
202034,1.5026,6.5346,Angra Dos Reis
202035,0.4208,1.9335,Angra Dos Reis
202036,0.0793,0.4474,Angra Dos Reis
202037,0.0068,0.0128,Angra Dos Reis
202038,0.2902,1.7879,Angra Dos Reis
202039,3.4817,14.7535,Angra Dos Reis
202040,0.1705,1.1344,Angra Dos Reis
202041,1.8011,6.518,Angra Dos Reis
202042,0.3528,1.9445,Angra Dos Reis
202043,0.2077,2.5973,Angra Dos Reis
202044,3.6015,15.5824,Angra Dos Reis
202045,0.713,2.2955,Angra Dos Reis
202046,3.9271,13.2212,Angra Dos Reis
202047,3.6875,14.3089,Angra Dos Reis
202048,1.3727,7.0997,Angra Dos Reis
202049,1.7763,7.8814,Angra Dos Reis
202050,5.7965,21.667,Angra Dos Reis
202051,3.13,10.6539,Angra Dos Reis
202052,6.6823,31.507,Angra Dos Reis
202053,5.6054,17.4055,Angra Dos Reis
202101,2.8288,14.1979,Angra Dos Reis
202102,1.6147,9.1777,Angra Dos Reis
202103,0.0,0.3171,Angra Dos Reis
202104,0.0025,0.0257,Angra Dos Reis
202105,3.6285,21.5241,Angra Dos Reis
202106,2.1142,5.6466,Angra Dos Reis
202107,2.6234,5.6006,Angra Dos Reis
202108,1.8989,7.9658,Angra Dos Reis
202109,1.1591,6.5771,Angra Dos Reis
202110,4.77,21.1275,Angra Dos Reis
202111,1.1065,8.0706,Angra Dos Reis
202112,0.1719,1.1447,Angra Dos Reis
202113,3.6345,19.875,Angra Dos Reis
202114,1.187,5.3644,Angra Dos Reis
202115,0.7916,4.8759,Angra Dos Reis
202116,1.6538,6.3394,Angra Dos Reis
202117,2.4268,9.6544,Angra Dos Reis
202118,1.322,6.7855,Angra Dos Reis
202119,0.8749,4.1659,Angra Dos Reis
202120,0.1118,0.6342,Angra Dos Reis
202121,0.0116,0.0999,Angra Dos Reis
202122,2.7697,15.0463,Angra Dos Reis
202123,0.7841,5.0358,Angra Dos Reis
202124,0.5073,2.5942,Angra Dos Reis
