week,precipitation_avg,precipitation_max,CITY
201935,0.2681,1.6385,Angra Dos Reis
201936,3.0357,8.4308,Angra Dos Reis
201937,0.0989,0.5923,Angra Dos Reis
201938,0.0703,0.4154,Angra Dos Reis
201939,2.0857,6.4615,Angra Dos Reis
201940,0.1815,0.9979,Angra Dos Reis
201941,1.6983,6.9817,Angra Dos Reis
201942,0.3394,1.201,Angra Dos Reis
201943,1.0593,4.5767,Angra Dos Reis
201944,2.0615,9.4385,Angra Dos Reis
201945,1.656,7.9149,Angra Dos Reis
201946,3.4165,12.7615,Angra Dos Reis
201947,2.0675,8.6062,Angra Dos Reis
201948,2.1646,8.0662,Angra Dos Reis
201949,3.3819,15.5735,Angra Dos Reis
201950,3.1977,13.584,Angra Dos Reis
201951,2.1512,9.24,Angra Dos Reis
201952,3.8583,16.712,Angra Dos Reis
202001,3.6522,15.8615,Angra Dos Reis
202002,4.0879,14.3456,Angra Dos Reis
202003,3.5815,15.3846,Angra Dos Reis
202004,1.9994,13.0091,Angra Dos Reis
202005,3.1791,9.5405,Angra Dos Reis
202006,5.462,15.664,Angra Dos Reis
202007,4.5342,15.472,Angra Dos Reis
202008,4.0389,16.584,Angra Dos Reis
202009,3.9173,12.2274,Angra Dos Reis
202010,4.5063,17.416,Angra Dos Reis
202011,1.462,7.3056,Angra Dos Reis
202012,3.4369,15.3309,Angra Dos Reis
202013,0.8395,3.4667,Angra Dos Reis
202014,2.7607,9.6279,Angra Dos Reis
202015,0.8443,3.9538,Angra Dos Reis
202016,0.4497,2.3572,Angra Dos Reis
202017,0.748,2.0625,Angra Dos Reis
202018,0.6447,3.913,Angra Dos Reis
202019,2.4634,10.9913,Angra Dos Reis
202020,1.4075,8.8609,Angra Dos Reis
202021,0.072,0.2696,Angra Dos Reis
202022,0.1865,0.9381,Angra Dos Reis
202023,0.0993,0.513,Angra Dos Reis
202024,0.3193,2.1319,Angra Dos Reis
202025,0.4004,2.0435,Angra Dos Reis
202026,0.2901,1.9774,Angra Dos Reis
202027,0.3279,1.7888,Angra Dos Reis
202028,0.0323,0.1391,Angra Dos Reis
202029,0.4484,2.2957,Angra Dos Reis
202030,0.0385,0.1478,Angra Dos Reis
202031,1.0211,4.5498,Angra Dos Reis
202032,0.0248,0.0783,Angra Dos Reis
202033,0.0385,0.1652,Angra Dos Reis
202034,1.4248,6.2087,Angra Dos Reis
202035,0.4091,1.7826,Angra Dos Reis
202036,0.1117,0.5818,Angra Dos Reis
202037,0.0089,0.0192,Angra Dos Reis
202038,0.2857,1.7636,Angra Dos Reis
202039,3.1748,13.2392,Angra Dos Reis
202040,0.1623,1.0636,Angra Dos Reis
202041,1.5352,5.9091,Angra Dos Reis
202042,0.5753,2.903,Angra Dos Reis
202043,0.8183,4.8555,Angra Dos Reis
202044,3.8078,15.4909,Angra Dos Reis
202045,0.8411,3.2502,Angra Dos Reis
202046,4.4496,15.5051,Angra Dos Reis
202047,4.1253,14.4513,Angra Dos Reis
202048,1.5273,7.8955,Angra Dos Reis
202049,3.3076,10.7464,Angra Dos Reis
202050,6.1941,22.7958,Angra Dos Reis
202051,3.9988,12.823,Angra Dos Reis
202052,7.0943,31.8542,Angra Dos Reis
202053,5.2942,17.1068,Angra Dos Reis
202101,3.4918,14.5038,Angra Dos Reis
202102,4.1258,11.5154,Angra Dos Reis
202103,0.0,1.0099,Angra Dos Reis
202104,0.0,0.0,Angra Dos Reis
202105,5.1522,23.7147,Angra Dos Reis
202106,2.6358,6.7203,Angra Dos Reis
202107,4.3425,15.8769,Angra Dos Reis
202108,1.9075,6.3992,Angra Dos Reis
202109,1.0632,5.8731,Angra Dos Reis
202110,4.7674,20.272,Angra Dos Reis
202111,1.4185,8.3708,Angra Dos Reis
202112,0.1679,1.0917,Angra Dos Reis
202113,3.449,18.1333,Angra Dos Reis
202114,1.068,5.008,Angra Dos Reis
202115,0.8846,5.224,Angra Dos Reis
202116,1.6072,6.256,Angra Dos Reis
202117,2.1583,8.8833,Angra Dos Reis
202118,1.1369,5.7583,Angra Dos Reis
202119,0.8976,4.4112,Angra Dos Reis
202120,0.1557,0.6917,Angra Dos Reis
202121,0.0238,0.1167,Angra Dos Reis
202122,2.5072,13.48,Angra Dos Reis
202123,0.6124,4.2953,Angra Dos Reis
202124,0.4274,2.092,Angra Dos Reis
202125,0.3711,1.828,Angra Dos Reis
202126,0.1223,0.488,Angra Dos Reis
202127,0.2397,1.36,Angra Dos Reis
202128,0.0376,0.1384,Angra Dos Reis
202129,0.0869,0.528,Angra Dos Reis
202130,0.6796,3.7508,Angra Dos Reis
202131,0.2028,1.1766,Angra Dos Reis
202132,0.5294,2.0154,Angra Dos Reis
202133,0.7994,5.7935,Angra Dos Reis
202134,0.156,0.9083,Angra Dos Reis
202135,1.5655,5.175,Angra Dos Reis
202136,0.7826,4.5917,Angra Dos Reis
202137,0.6833,3.65,Angra Dos Reis
202138,0.6329,2.5468,Angra Dos Reis
202139,0.7439,1.5506,Angra Dos Reis
202140,2.7909,11.168,Angra Dos Reis
202141,1.5818,5.1646,Angra Dos Reis
202142,2.4007,7.176,Angra Dos Reis
202143,2.8577,7.8734,Angra Dos Reis
