date,week,cases,population,tempe_min,humidity_max,humidity_avg,humidity_min,temp_avg,temp_max,geocode,vim,vim_monthly,precipitation_avg_ordinary_krigging,precipitation_max_ordinary_krigging,precipitation_avg_regression_krigging,precipitation_max_regression_krigging,case_increase,is_outbreak,outbreak_label
2016-07-31,201631,0,15514.0,19.1428571428571,97.4285714285714,89.1537585714286,81.0,21.0530075714286,22.4285714285714,3300902,0.6055673068797941,0.6558,0.3714,2.13,0.2448,1.4039,0.0,0,0
2013-08-25,201335,0,15514.0,17.5714285714286,94.2857142857143,72.3426864285714,49.5714285714286,22.6255101428571,26.8571428571429,3300902,0.5451350328103447,0.5703,1.0244,6.5659,1.0235,6.5584,0.0,0,0
2012-09-30,201240,0,15514.0,19.7142857142857,90.8571428571429,67.2551008571429,40.5714285714286,24.0213357142857,27.5714285714286,3300902,0.5937521922776217,0.5893666666666667,0.0179,0.0625,0.0103,0.0446,-1.0,0,0
2022-04-03,202214,12,15514.0,23.7142857142857,90.3070535714286,71.120978,56.944622,27.75,30.4285714285714,3300902,0.7349714321709591,0.7301666666666667,0.3717,6.3944,0.3315,6.6735,2.0,0,0
2013-08-04,201332,0,15514.0,18.5714285714286,94.8571428571429,71.3991165714286,42.8571428571429,24.279171,29.0,3300902,0.5793394521719933,0.5703,0.0399,0.1304,0.0373,0.129,0.0,0,0
2012-01-15,201203,0,15514.0,22.7142857142857,99.1428571428571,73.477767,44.4285714285714,27.801113,32.4285714285714,3300902,0.7395433254269889,0.7385999999999999,0.4953,5.05,0.3315,3.3653,-1.0,0,0
2022-11-27,202248,0,15514.0,23.2857142857143,95.0277014285714,88.2872177142857,81.6724322857143,24.5047621428571,25.7142857142857,3300902,0.7278428796028457,0.6886666666666666,4.9788,17.2846,5.198,18.5138,0.0,0,0
2019-11-03,201945,0,15514.0,25.2857142857143,79.8283234285714,60.6434944285714,48.1612674285714,29.5119048571429,32.5714285714286,3300902,0.6197736650963843,0.6445333333333333,1.656,20.7322,1.6237,20.7206,0.0,0,0
2015-12-20,201551,1,15514.0,24.2857142857143,90.1428571428571,85.5952377142857,81.5714285714286,25.3265307142857,26.1428571428571,3300902,0.7551736441898218,0.7487,1.1644,7.2824,0.2365,1.9174,1.0,0,0
2022-01-02,202201,0,15514.0,24.2857142857143,91.1921514285714,75.7416765714286,63.8944967142857,27.2083331428571,29.5714285714286,3300902,0.7615,0.7641,4.376,14.84,4.3036,15.2546,0.0,0,0
2014-05-04,201419,0,15514.0,21.8571428571429,95.7142857142857,75.1174255714286,46.1428571428571,25.7321054285714,30.5714285714286,3300902,0.7209020591380537,0.7127,1.425,7.6625,1.4013,7.6796,0.0,0,0
2013-07-28,201331,0,15514.0,16.4285714285714,94.0,70.1388934285714,39.1428571428571,22.3862317142857,28.1428571428571,3300902,0.5957846107684562,0.6457666666666667,0.05,0.095,0.0471,0.0811,0.0,0,0
2016-04-03,201614,0,15514.0,24.7142857142857,94.8571428571429,90.312925,85.2857142857143,25.6428571428571,26.4285714285714,3300902,0.7457,0.7383333333333333,0.0454,0.2412,0.0465,0.2801,0.0,0,0
